1.85	-0.06
3.48	-0.69
3.32	-1.04
1.40	1.78
2.48	-1.68
4.81	0.29
3.01	-0.92
4.30	-0.77
1.22	1.44
2.22	-1.30
2.47	-1.76
3.65	-0.66
3.55	-1.20
0.60	-0.69
2.26	-0.88
4.13	0.70
0.24	0.91
4.04	-1.00
2.65	-1.60
3.83	-0.18
2.77	0.15
1.90	0.95
0.57	0.94
4.59	-0.61
1.23	2.45
0.79	2.14
4.18	-1.22
4.66	0.70
4.53	-2.14
0.69	2.55
1.26	1.50
0.47	2.15
1.01	3.20
3.05	-0.95
3.17	-0.53
1.00	0.10
0.12	0.88
1.91	0.83
3.58	-0.93
2.55	-3.05
4.49	-2.12
3.79	0.89
0.88	0.92
4.94	1.28
2.61	-4.35
0.42	-1.18
1.10	0.32
3.35	-0.70
4.30	-1.08
3.63	-1.35
2.94	-1.45
0.23	0.74
1.76	-0.36
3.16	-0.65
2.35	-0.58
3.53	-1.34
1.38	1.50
2.70	-2.00
0.74	0.61
2.02	-1.57
1.69	0.88
4.89	0.04
1.07	0.48
1.85	0.84
4.11	0.18
3.93	3.25
0.85	0.81
0.51	0.31
4.70	-1.84
0.58	2.32
4.39	-0.78
4.24	-1.01
0.91	1.43
0.78	1.18
1.10	1.11
1.74	1.21
3.30	-1.21
3.88	-1.03
4.76	-0.60
1.15	1.03
0.05	0.14
3.57	-1.51
3.96	1.30
0.44	0.17
4.41	0.65
1.55	1.08
0.94	0.67
4.30	0.22
4.21	-1.04
4.46	0.23
2.45	0.90
2.86	-1.72
1.53	-0.20
4.35	-1.45
0.72	0.96
3.59	-0.71
0.66	0.82
1.68	-0.63
3.82	-0.10
2.82	-2.16
-2.23	-1.93
-4.12	-1.86
-1.64	-1.20
-2.27	-1.24
-4.14	-0.04
-4.59	-2.36
-0.58	1.70
-2.90	-0.78
-0.20	0.87
-1.11	2.41
